Year,League,TeamIdAlt,FranchiseId,Division,Rank,Wins,Losses,Runs,HomeRuns,ERA,Name,Park,TeamId
1889,NL,NY1,SFG,,1,83,43,935,52,3.47,New York Giants,Polo Grounds II,NYG
1889,AA,PH4,PHA,,3,75,58,880,43,3.53,Philadelphia Athletics,Jefferson Street Grounds,PHA
1889,NL,PHI,PHI,,4,63,64,742,44,4,Philadelphia Quakers,Philadelphia Baseball Grounds,PHI
1889,NL,PIT,PIT,,5,61,71,726,42,4.51,Pittsburg Alleghenys,Recreation Park,PIT
1889,AA,SL4,STL,,2,90,45,957,58,3,St. Louis Browns,Sportsman's Park I,STL
1889,NL,WS8,WNL,,8,41,83,632,25,4.68,Washington Nationals,Swampdoodle Grounds,WHS
1890,PL,BFP,BFB,,8,36,96,793,20,6.11,Buffalo Bisons,,BUF
1890,AA,BL3,BLO,,6,15,19,182,2,4,Baltimore Orioles,Oriole Park,BAL
1890,AA,BR4,BRG,,9,26,73,492,13,4.71,Brooklyn Gladiators,Ridgewood Park,BRG
1890,NL,BRO,LAD,,1,86,43,884,43,3.06,Brooklyn Bridegrooms,Washington Park II,BRO
1890,PL,BRP,BWW,,2,76,56,964,34,3.95,Brooklyn Ward's Wonders,,BWW
1890,NL,BSN,ATL,,5,76,57,763,31,2.93,Boston Beaneaters,South End Grounds II,BSN
1890,PL,BSP,BRS,,1,81,48,992,54,3.79,Boston Reds,,BOS
1890,NL,CHN,CHC,,2,83,53,847,67,3.24,Chicago Colts,West Side Park I,CHC
1890,PL,CHP,CHP,,4,75,62,886,31,3.39,Chicago Pirates,,CHI
1890,NL,CIN,CIN,,4,77,55,753,27,2.79,Cincinnati Reds,League Park I in Cincinnati,CIN
1890,NL,CL4,CLV,,7,44,88,630,21,4.13,Cleveland Spiders,National League Park,CLV
1890,AA,CL6,CLS,,2,79,55,831,16,2.99,Columbus Solons,Recreation Park II,COL
1890,PL,CLP,CLI,,7,55,75,849,27,4.23,Cleveland Infants,,CLE
1890,AA,LS2,LOU,,1,88,44,819,15,2.57,Louisville Colonels,Eclipse Park I,LOU
1890,NL,NY1,SFG,,6,63,68,713,25,3.06,New York Giants,Polo Grounds II,NYG
1890,PL,NYP,NYI,,3,74,57,1018,66,4.17,New York Giants,,NYI
1890,AA,PH4,PHA,,8,54,78,702,24,5.22,Philadelphia Athletics,Jefferson Street Grounds,PHA
1890,NL,PHI,PHI,,3,78,53,823,23,3.32,Philadelphia Phillies,Philadelphia Baseball Grounds,PHI
1890,PL,PHP,PHQ,,5,68,63,941,49,4.05,Philadelphia Athletics,,PHQ
1890,NL,PIT,PIT,,8,23,113,597,20,5.97,Pittsburg Alleghenys,Recreation Park,PIT
1890,PL,PTP,PBB,,6,60,68,835,35,4.22,Pittsburgh Burghers,,PBB
1890,AA,RC2,ROC,,5,63,63,709,31,3.56,Rochester Broncos,Culver Field I,ROC
1890,AA,SL4,STL,,3,78,58,870,48,3.67,St. Louis Browns,Sportsman's Park I,STL
1890,AA,SR2,SYS,,7,55,72,698,14,4.98,Syracuse Stars,Star Park II,SYR
1890,AA,TL2,TLM,,4,68,64,739,24,3.56,Toledo Maumees,Speranza Park,TOL
1891,AA,BL3,BLO,,4,71,64,850,30,3.43,Baltimore Orioles,Union Park,BAL
1891,NL,BRO,LAD,,6,61,76,765,23,3.86,Brooklyn Grooms,Eastern Park,BRO
1891,AA,BS2,BRS,,1,93,42,1028,52,3.03,Boston Reds,Congress Street Grounds,BOS
